,Date,Airline,Flight_Number,Aircraft_Model,Origin_Airport,Origin_City,Destination_Airport,Destination_City,Scheduled_Departure_Time,Actual_Departure_Time,Scheduled_Arrival_Time,Actual_Arrival_Time,Flight_Duration_Minutes,Passenger_Count,Available_Seats,Load_Factor,Passenger_Category,Departure_Delay_Minutes,Arrival_Delay_Minutes,Flight_Status,Delay_Reason,Cancellation_Reason,Ticket_Price_INR,Revenue_INR
FL04775,05-01-2024,Akasa Air,QP 531,Boeing 737 MAX 8,GOI,Goa,BLR,Bengaluru,14:48,16:02,16:02,17:18,74,168,189,0.8889,Business,74,76,Delayed,Weather,,2660,446880
FL04991,05-01-2024,SpiceJet,SG 473,Bombardier Q400,BLR,Bengaluru,CJB,Coimbatore,16:32,16:40,17:33,17:41,61,60,78,0.7692,Business,8,8,On Time,,,1800,108000
FL00052,06-01-2024,IndiGo,6E 148,Airbus A320neo,MAA,Chennai,BLR,Bengaluru,17:07,17:14,17:52,17:52,45,167,180,0.9278,Student,7,0,On Time,,,1800,300600
FL00595,06-01-2024,Akasa Air,QP 246,Boeing 737 MAX 8,COK,Kochi,BLR,Bengaluru,09:18,09:21,10:26,10:33,68,156,189,0.8254,Family,3,7,On Time,,,2010,313560
FL01101,06-01-2024,Akasa Air,QP 396,Boeing 737 MAX 8,CCU,Kolkata,NAG,Nagpur,17:43,18:24,19:38,20:15,115,128,189,0.6772,Student,41,37,Delayed,Crew,,5010,641280
FL02384,06-01-2024,IndiGo,6E 496,Airbus A320neo,DEL,Delhi,GOI,Goa,19:12,19:19,21:45,21:51,153,178,180,0.9889,Student,7,6,On Time,,,10350,1842300
FL02922,06-01-2024,SpiceJet,SG 768,Boeing 737-800,HYD,Hyderabad,NAG,Nagpur,06:51,08:45,07:50,09:43,59,128,189,0.6772,Leisure,114,113,Delayed,Crew,,1800,230400
FL04281,06-01-2024,Air India,AI 237,Boeing 787-8,NAG,Nagpur,PNQ,Pune,09:12,09:20,10:31,10:45,79,159,256,0.6211,Leisure,8,14,On Time,,,3900,620100
FL00766,07-01-2024,IndiGo,6E 720,Airbus A320neo,MAA,Chennai,BOM,Mumbai,06:53,06:54,08:53,08:53,120,151,180,0.8389,Family,1,0,On Time,,,5480,827480
FL03377,07-01-2024,IndiGo,6E 587,Airbus A321neo,AMD,Ahmedabad,MAA,Chennai,14:29,14:31,16:57,16:58,148,150,220,0.6818,Senior Citizen,2,1,On Time,,,8380,1257000
FL04966,07-01-2024,Air India Express,IX 672,Boeing 737-8,DEL,Delhi,BLR,Bengaluru,05:53,07:45,08:49,10:34,176,178,189,0.9418,Student,112,105,Delayed,Late Arrival of Aircraft,,9920,1765760
FL00535,08-01-2024,IndiGo,6E 566,Airbus A320neo,JAI,Jaipur,HYD,Hyderabad,07:55,08:01,09:59,10:11,124,134,180,0.7444,Family,6,12,On Time,,,6060,812040
FL01911,08-01-2024,SpiceJet,SG 536,Boeing 737-800,AMD,Ahmedabad,LKO,Lucknow,17:31,17:47,19:23,19:26,112,140,189,0.7407,Family,16,3,Delayed,Late Arrival of Aircraft,,4690,656600
FL02394,08-01-2024,IndiGo,6E 504,Airbus A321neo,AMD,Ahmedabad,PNQ,Pune,21:26,21:35,22:38,22:48,72,165,220,0.75,Family,9,10,On Time,,,2660,438900
FL02940,08-01-2024,IndiGo,6E 999,Airbus A321neo,PNQ,Pune,DEL,Delhi,16:02,16:06,18:06,18:08,124,174,220,0.7909,Student,4,2,On Time,,,5470,951780
FL02958,08-01-2024,IndiGo,6E 214,Airbus A320neo,BLR,Bengaluru,PNQ,Pune,10:19,11:18,11:58,13:03,99,104,180,0.5778,Leisure,59,65,Delayed,Ground Operations,,3170,329680
FL04838,08-01-2024,IndiGo,6E 923,Airbus A321neo,MAA,Chennai,AMD,Ahmedabad,07:14,07:20,09:35,09:46,141,155,220,0.7045,Student,6,11,On Time,,,6830,1058650
FL00395,09-01-2024,Air India Express,IX 230,Boeing 737-800,MAA,Chennai,BLR,Bengaluru,19:41,21:29,20:29,22:16,48,140,180,0.7778,Family,108,107,Delayed,Air Traffic,,1800,252000
FL00841,09-01-2024,Akasa Air,QP 333,Boeing 737 MAX 8,HYD,Hyderabad,GOI,Goa,06:30,06:37,07:50,07:55,80,143,189,0.7566,Family,7,5,On Time,,,2890,413270
FL01952,09-01-2024,Air India,AI 904,Airbus A320,CJB,Coimbatore,BOM,Mumbai,21:59,22:03,23:50,23:53,111,109,174,0.6264,Student,4,3,On Time,,,5360,584240
FL02539,09-01-2024,Akasa Air,QP 774,Boeing 737 MAX 8,BOM,Mumbai,MAA,Chennai,22:21,22:29,00:22,00:27,121,154,189,0.8148,Student,8,5,On Time,,,5880,905520
FL02719,09-01-2024,IndiGo,6E 797,ATR 72,GOI,Goa,BOM,Mumbai,21:14,21:15,22:26,22:32,72,46,70,0.6571,Business,1,6,On Time,,,2040,93840
FL03218,09-01-2024,Air India,AI 588,Airbus A321,COK,Kochi,BLR,Bengaluru,11:06,11:09,12:05,12:07,59,152,190,0.8,Leisure,3,2,On Time,,,2410,366320
FL03321,09-01-2024,IndiGo,6E 536,Airbus A321neo,DEL,Delhi,CCU,Kolkata,17:49,17:54,20:10,20:12,141,157,220,0.7136,Family,5,2,On Time,,,6770,1062890
FL04305,09-01-2024,SpiceJet,SG 294,Bombardier Q400,DEL,Delhi,BLR,Bengaluru,11:16,11:23,14:13,14:26,177,68,78,0.8718,Leisure,7,13,On Time,,,9990,679320
FL00205,10-01-2024,Air India Express,IX 169,Boeing 737-800,BOM,Mumbai,GOI,Goa,07:19,07:24,08:29,08:33,70,116,180,0.6444,Senior Citizen,5,4,On Time,,,1860,215760
FL02023,10-01-2024,IndiGo,6E 978,ATR 72,HYD,Hyderabad,MAA,Chennai,05:40,05:46,06:52,07:01,72,47,70,0.6714,Leisure,6,9,On Time,,,2490,117030
FL02115,10-01-2024,Air India Express,IX 685,Boeing 737-8,GOI,Goa,PNQ,Pune,18:58,18:58,20:01,20:01,63,132,189,0.6984,Family,0,0,On Time,,,1840,242880
FL03996,10-01-2024,IndiGo,6E 269,Airbus A320neo,NAG,Nagpur,BLR,Bengaluru,21:23,21:32,23:11,23:21,108,143,180,0.7944,Business,9,10,On Time,,,4710,673530
FL04222,10-01-2024,IndiGo,6E 441,ATR 72,HYD,Hyderabad,BLR,Bengaluru,08:57,09:02,10:06,10:08,69,42,70,0.6,Leisure,5,2,On Time,,,2120,89040
FL04418,10-01-2024,Air India Express,IX 521,Boeing 737-800,AMD,Ahmedabad,PNQ,Pune,13:13,13:14,14:34,14:36,81,119,180,0.6611,Leisure,1,2,On Time,,,2120,252280
FL00519,11-01-2024,Air India,AI 287,Boeing 787-8,BOM,Mumbai,PNQ,Pune,15:24,15:32,16:09,16:15,45,247,256,0.9648,Student,8,6,On Time,,,1800,444600
FL01568,11-01-2024,Air India Express,IX 528,Boeing 737-800,CCU,Kolkata,DEL,Delhi,13:01,13:01,15:24,15:24,143,129,180,0.7167,Leisure,0,0,On Time,,,7310,942990
FL02571,11-01-2024,Air India Express,IX 820,Boeing 737-800,PNQ,Pune,HYD,Hyderabad,18:07,18:07,19:21,19:23,74,149,180,0.8278,Senior Citizen,0,2,On Time,,,2370,353130
FL03801,11-01-2024,IndiGo,6E 950,Airbus A321neo,BOM,Mumbai,LKO,Lucknow,06:47,06:55,08:59,09:06,132,187,220,0.85,Leisure,8,7,On Time,,,6820,1275340
FL04816,11-01-2024,Air India,AI 437,Airbus A321,BOM,Mumbai,JAI,Jaipur,11:16,11:16,13:03,13:03,107,120,190,0.6316,Business,0,0,On Time,,,5180,621600
FL00812,12-01-2024,Air India,AI 432,Airbus A320,DEL,Delhi,LKO,Lucknow,14:55,14:56,16:08,16:09,73,137,174,0.7874,Leisure,1,1,On Time,,,2750,376750
FL02052,12-01-2024,IndiGo,6E 999,Airbus A320neo,BLR,Bengaluru,HYD,Hyderabad,15:42,15:45,16:48,16:48,66,138,180,0.7667,Family,3,0,On Time,,,2370,327060
FL02534,12-01-2024,Air India,AI 327,Airbus A321,DEL,Delhi,PNQ,Pune,15:47,15:52,17:50,17:55,123,149,190,0.7842,Family,5,5,On Time,,,6670,993830
FL03071,12-01-2024,Air India Express,IX 965,Boeing 737-800,MAA,Chennai,BLR,Bengaluru,06:43,06:47,07:38,07:44,55,178,180,0.9889,Business,4,6,On Time,,,1800,320400
FL03532,12-01-2024,IndiGo,6E 742,Airbus A321neo,DEL,Delhi,CCU,Kolkata,16:21,16:28,18:41,18:42,140,182,220,0.8273,Leisure,7,1,On Time,,,7690,1399580
FL04792,12-01-2024,Akasa Air,QP 544,Boeing 737 MAX 8,BOM,Mumbai,MAA,Chennai,16:48,19:40,18:46,22:03,118,187,189,0.9894,Leisure,172,197,Delayed,Technical Issue,,6860,1282820
FL00239,13-01-2024,IndiGo,6E 317,ATR 72,MAA,Chennai,HYD,Hyderabad,05:03,05:12,06:14,06:28,71,52,70,0.7429,Family,9,14,On Time,,,2820,146640
FL00683,13-01-2024,Akasa Air,QP 283,Boeing 737 MAX 8,BOM,Mumbai,JAI,Jaipur,14:41,14:44,16:29,16:29,108,149,189,0.7884,Family,3,0,On Time,,,5410,806090
FL00797,13-01-2024,IndiGo,6E 745,Airbus A321neo,CCU,Kolkata,HYD,Hyderabad,06:59,07:03,09:08,09:09,129,149,220,0.6773,Student,4,1,On Time,,,7380,1099620
FL00826,13-01-2024,Air India Express,IX 331,Boeing 737-800,BOM,Mumbai,AMD,Ahmedabad,09:48,09:54,10:49,10:57,61,176,180,0.9778,Leisure,6,8,On Time,,,2340,411840
FL01929,13-01-2024,Air India Express,IX 641,Boeing 737-8,HYD,Hyderabad,BOM,Mumbai,19:08,19:09,20:33,20:38,85,179,189,0.9471,Leisure,1,5,On Time,,,3710,664090
FL01949,13-01-2024,Air India,AI 900,Airbus A320,AMD,Ahmedabad,HYD,Hyderabad,10:27,10:57,12:07,12:34,100,101,174,0.5805,Leisure,30,27,Delayed,Air Traffic,,4380,442380
FL04337,13-01-2024,Air India,AI 266,Boeing 787-8,MAA,Chennai,BLR,Bengaluru,13:54,15:19,14:47,16:19,53,233,256,0.9102,Family,85,92,Delayed,Air Traffic,,1810,421730
FL04501,13-01-2024,IndiGo,6E 669,Airbus A321neo,AMD,Ahmedabad,DEL,Delhi,12:43,12:43,14:31,14:35,108,191,220,0.8682,Business,0,4,On Time,,,3860,737260
FL01045,14-01-2024,Air India,AI 536,Airbus A320,CCU,Kolkata,MAA,Chennai,21:35,21:44,00:02,00:10,147,156,174,0.8966,Leisure,9,8,On Time,,,9080,1416480
FL02873,14-01-2024,IndiGo,6E 936,Airbus A321neo,BLR,Bengaluru,AMD,Ahmedabad,05:02,07:13,07:27,09:43,145,213,220,0.9682,Business,131,136,Delayed,Air Traffic,,7620,1623060
FL03459,14-01-2024,Air India,AI 680,Airbus A320,PNQ,Pune,MAA,Chennai,11:50,11:55,13:38,13:45,108,144,174,0.8276,Leisure,5,7,On Time,,,5630,810720
FL03805,14-01-2024,Air India,AI 830,Airbus A320,GOI,Goa,HYD,Hyderabad,09:30,09:33,10:59,10:59,89,146,174,0.8391,Student,3,0,On Time,,,3440,502240
FL03879,14-01-2024,Akasa Air,QP 296,Boeing 737 MAX 8,BOM,Mumbai,JAI,Jaipur,20:58,21:05,22:51,22:59,113,140,189,0.7407,Family,7,8,On Time,,,5700,798000
FL04136,14-01-2024,Air India,AI 966,Airbus A321,AMD,Ahmedabad,DEL,Delhi,09:38,09:44,11:08,11:18,90,180,190,0.9474,Leisure,6,10,On Time,,,4970,894600
FL04167,14-01-2024,Air India,AI 980,Airbus A321,COK,Kochi,GAU,Guwahati,07:50,07:53,11:41,11:41,231,158,190,0.8316,Business,3,0,On Time,,,16330,2580140
FL04248,14-01-2024,IndiGo,6E 466,Airbus A320neo,HYD,Hyderabad,PNQ,Pune,17:15,17:17,18:25,18:33,70,148,180,0.8222,Student,2,8,On Time,,,2310,341880
FL04403,14-01-2024,SpiceJet,SG 330,Boeing 737-800,CCU,Kolkata,MAA,Chennai,20:25,20:30,22:55,23:03,150,179,189,0.9471,Family,5,8,On Time,,,7190,1287010
FL04450,14-01-2024,Air India Express,IX 538,Boeing 737-8,HYD,Hyderabad,CCU,Kolkata,22:20,22:23,00:31,00:35,131,185,189,0.9788,Senior Citizen,3,4,On Time,,,6890,1274650
FL00150,15-01-2024,Air India Express,IX 153,Boeing 737-8,BLR,Bengaluru,JAI,Jaipur,08:27,08:28,11:21,11:21,174,135,189,0.7143,Business,1,0,On Time,,,8160,1101600
FL00270,15-01-2024,IndiGo,6E 357,ATR 72,MAA,Chennai,GAU,Guwahati,20:07,20:16,23:25,23:33,198,53,70,0.7571,Family,9,8,On Time,,,10600,561800
FL01894,15-01-2024,Akasa Air,QP 617,Boeing 737 MAX 8,BLR,Bengaluru,HYD,Hyderabad,20:08,20:12,21:18,21:18,70,169,189,0.8942,Student,4,0,On Time,,,2570,434330
FL01902,15-01-2024,Air India,AI 883,Airbus A320,CCU,Kolkata,MAA,Chennai,05:01,05:03,07:38,07:46,157,111,174,0.6379,Leisure,2,8,On Time,,,6440,714840
FL02031,15-01-2024,IndiGo,6E 983,Airbus A320neo,DEL,Delhi,BOM,Mumbai,16:36,17:11,18:34,19:11,118,164,180,0.9111,Business,35,37,Delayed,Air Traffic,,6420,1052880
FL02038,15-01-2024,Air India,AI 933,Airbus A321,AMD,Ahmedabad,PNQ,Pune,21:28,21:35,22:56,23:07,88,128,190,0.6737,Family,7,11,On Time,,,2650,339200
FL00085,16-01-2024,Air India Express,IX 138,Boeing 737-800,NAG,Nagpur,BLR,Bengaluru,11:07,12:21,12:51,14:14,104,128,180,0.7111,Leisure,74,83,Delayed,Crew,,4840,619520
FL00136,16-01-2024,IndiGo,6E 226,Airbus A320neo,MAA,Chennai,CJB,Coimbatore,14:57,15:02,15:57,16:09,60,106,180,0.5889,Leisure,5,12,On Time,,,1830,193980
FL00872,16-01-2024,IndiGo,6E 810,Airbus A320neo,BLR,Bengaluru,CJB,Coimbatore,10:51,10:56,11:38,11:40,47,140,180,0.7778,Family,5,2,On Time,,,1800,252000
FL01069,16-01-2024,IndiGo,6E 940,Airbus A321neo,BLR,Bengaluru,CJB,Coimbatore,14:20,,15:12,,52,0,220,0,Family,0,0,Cancelled,,Crew Availability,1800,0
FL03793,16-01-2024,IndiGo,6E 944,Airbus A321neo,HYD,Hyderabad,MAA,Chennai,22:00,00:52,23:10,02:06,70,170,220,0.7727,Leisure,172,176,Delayed,Weather,,2630,447100
FL04859,16-01-2024,IndiGo,6E 947,Airbus A321neo,CCU,Kolkata,HYD,Hyderabad,12:29,12:38,14:39,14:42,130,159,220,0.7227,Family,9,3,On Time,,,7390,1175010
FL00227,17-01-2024,Air India Express,IX 188,Boeing 737-8,BOM,Mumbai,COK,Kochi,08:21,08:24,10:31,10:36,130,117,189,0.619,Student,3,5,On Time,,,4630,541710
FL00590,17-01-2024,Air India,AI 323,Airbus A321,COK,Kochi,NAG,Nagpur,05:15,05:20,07:31,07:31,136,133,190,0.7,Business,5,0,On Time,,,6730,895090
FL01356,17-01-2024,IndiGo,6E 419,ATR 72,MAA,Chennai,CJB,Coimbatore,16:01,16:10,17:10,17:17,69,55,70,0.7857,Student,9,7,On Time,,,2050,112750
FL01721,17-01-2024,IndiGo,6E 722,Airbus A320neo,HYD,Hyderabad,NAG,Nagpur,21:35,21:41,22:41,22:43,66,148,180,0.8222,Business,6,2,On Time,,,2440,361120
FL02350,17-01-2024,IndiGo,6E 459,Airbus A321neo,BOM,Mumbai,CCU,Kolkata,06:20,06:20,09:13,09:17,173,145,220,0.6591,Student,0,4,On Time,,,7840,1136800
FL02557,17-01-2024,IndiGo,6E 655,Airbus A321neo,HYD,Hyderabad,DEL,Delhi,11:00,11:07,13:20,13:29,140,154,220,0.7,Business,7,9,On Time,,,6220,957880
FL02887,17-01-2024,IndiGo,6E 950,Airbus A320neo,HYD,Hyderabad,DEL,Delhi,11:00,11:07,13:12,13:15,132,136,180,0.7556,Leisure,7,3,On Time,,,7510,1021360
FL03699,17-01-2024,IndiGo,6E 881,ATR 72,BOM,Mumbai,GOI,Goa,12:53,14:00,13:54,15:00,61,64,70,0.9143,Leisure,67,66,Delayed,Late Arrival of Aircraft,,2680,171520
FL04338,17-01-2024,Akasa Air,QP 429,Boeing 737 MAX 8,CCU,Kolkata,GAU,Guwahati,12:05,12:12,13:14,13:16,69,138,189,0.7302,Family,7,2,On Time,,,2730,376740
FL04559,17-01-2024,IndiGo,6E 712,Airbus A320neo,CCU,Kolkata,HYD,Hyderabad,16:30,16:34,18:41,18:43,131,113,180,0.6278,Business,4,2,On Time,,,5600,632800
FL02130,18-01-2024,Akasa Air,QP 671,Boeing 737 MAX 8,HYD,Hyderabad,BOM,Mumbai,05:27,05:42,06:49,06:49,82,144,189,0.7619,Family,15,0,Delayed,Technical Issue,,3380,486720
FL02581,18-01-2024,IndiGo,6E 676,Airbus A320neo,BLR,Bengaluru,PNQ,Pune,05:06,05:14,06:37,06:41,91,123,180,0.6833,Leisure,8,4,On Time,,,3600,442800
FL03308,18-01-2024,IndiGo,6E 516,Airbus A321neo,PNQ,Pune,COK,Kochi,10:20,11:36,12:18,13:31,118,178,220,0.8091,Family,76,73,Delayed,Technical Issue,,4990,888220
FL03333,18-01-2024,Air India,AI 639,Boeing 787-8,DEL,Delhi,NAG,Nagpur,12:00,12:07,13:49,14:03,109,204,256,0.7969,Business,7,14,On Time,,,5040,1028160
FL04380,18-01-2024,Air India,AI 284,Boeing 787-8,BOM,Mumbai,JAI,Jaipur,08:18,08:22,10:02,10:04,104,189,256,0.7383,Leisure,4,2,On Time,,,5590,1056510
FL01205,19-01-2024,IndiGo,6E 268,ATR 72,BOM,Mumbai,PNQ,Pune,16:40,18:50,17:25,19:49,45,47,70,0.6714,Family,130,144,Delayed,Late Arrival of Aircraft,,1800,84600
FL01318,19-01-2024,IndiGo,6E 381,Airbus A321neo,AMD,Ahmedabad,BOM,Mumbai,13:16,13:24,14:32,14:35,76,141,220,0.6409,Family,8,3,On Time,,,2450,345450
FL01743,19-01-2024,SpiceJet,SG 507,Boeing 737-800,DEL,Delhi,GOI,Goa,16:26,16:26,19:06,19:06,160,166,189,0.8783,Family,0,0,On Time,,,8840,1467440
FL03192,19-01-2024,SpiceJet,SG 816,Bombardier Q400,JAI,Jaipur,PNQ,Pune,19:48,19:49,21:37,21:38,109,59,78,0.7564,Family,1,1,On Time,,,5470,322730
FL03300,19-01-2024,Air India Express,IX 225,Boeing 737-8,HYD,Hyderabad,CCU,Kolkata,17:10,18:41,19:32,21:07,142,135,189,0.7143,Family,91,95,Delayed,Air Traffic,,6460,872100
FL00415,20-01-2024,IndiGo,6E 467,Airbus A320neo,AMD,Ahmedabad,CCU,Kolkata,06:09,06:15,08:55,09:01,166,145,180,0.8056,Family,6,6,On Time,,,10270,1489150
FL00650,20-01-2024,IndiGo,6E 635,Airbus A321neo,BOM,Mumbai,NAG,Nagpur,18:28,,20:09,,101,0,220,0,Leisure,0,0,Cancelled,,Technical Issue,3470,0
FL02815,20-01-2024,IndiGo,6E 887,Airbus A321neo,CCU,Kolkata,CJB,Coimbatore,21:52,00:33,00:56,03:39,184,193,220,0.8773,Leisure,161,163,Delayed,Security,,11380,2196340
FL03394,20-01-2024,IndiGo,6E 597,Airbus A320neo,AMD,Ahmedabad,BOM,Mumbai,05:05,05:13,06:15,06:18,70,168,180,0.9333,Student,8,3,On Time,,,2920,490560
FL03862,20-01-2024,Akasa Air,QP 291,Boeing 737 MAX 8,HYD,Hyderabad,LKO,Lucknow,06:59,07:01,09:09,09:10,130,153,189,0.8095,Family,2,1,On Time,,,5860,896580
FL04075,20-01-2024,Air India,AI 937,Boeing 787-8,AMD,Ahmedabad,GOI,Goa,18:15,18:23,20:03,20:10,108,185,256,0.7227,Business,8,7,On Time,,,4760,880600
FL04542,20-01-2024,SpiceJet,SG 371,Bombardier Q400,NAG,Nagpur,GOI,Goa,11:36,11:36,13:24,13:24,108,74,78,0.9487,Leisure,0,0,On Time,,,4860,359640
FL00069,21-01-2024,IndiGo,6E 165,Airbus A321neo,BLR,Bengaluru,JAI,Jaipur,12:25,12:34,15:15,15:21,170,165,220,0.75,Leisure,9,6,On Time,,,8800,1452000
FL00768,21-01-2024,Air India,AI 410,Airbus A320,COK,Kochi,CJB,Coimbatore,16:30,16:38,17:15,17:25,45,133,174,0.7644,Leisure,8,10,On Time,,,1800,239400
